medcodeid,term
318461019,"Closed fracture lumbar vertebra, tricolumnar"
318462014,Open fracture lumbar vertebra
318463016,"Open fracture lumbar vertebra, burst"
318464010,"Open fracture lumbar vertebra, wedge"
318465011,"Open fracture lumbar vertebra, spondylolysis"
318466012,"Open fracture lumbar vertebra, spinous process"
318467015,"Open fracture lumbar vertebra, transverse process"
318468013,"Open fracture lumbar vertebra, posterior arch"
318469017,"Open fracture lumbar vertebra, tricolumnar"
318482013,Fracture of first cervical vertebra
318483015,Fracture of second cervical vertebra
318484014,Multiple fractures of cervical spine
318485010,Fracture of lumbar spine and pelvis
318492017,Multiple fractures of lumbar spine and pelvis
318493010,Closed fracture of vertebral column
318494016,Open fracture of vertebral column
318495015,Fracture of spine without mention of spinal cord lesion NOS
318500017,Closed fracture of cervical spine with cord lesion
318514017,Open fracture of cervical spine with spinal cord lesion
318518019,"Open spinal fracture with central cervical cord lesion, C1-4"
318524013,"Open spinal fracture with central cervical cord lesion, C5-7"
318527018,Open fracture of cervical spine with spinal cord lesion NOS
318528011,Closed fracture of thoracic spine with spinal cord lesion
318542015,Open fracture of thoracic spine with spinal cord lesion
318546017,"Open spinal fracture with central thoracic cord lesion, T1-6"
318555019,Open fracture of thoracic spine with spinal cord lesion NOS
318556018,Closed fracture of lumbar spine with spinal cord lesion
318557010,Closed spinal fracture with unspecified lumbar cord lesion
318558017,Closed spinal fracture with complete lumbar cord lesion
318559013,Closed spinal fracture with anterior lumbar cord lesion
318560015,Closed spinal fracture with central lumbar cord lesion
318561016,Closed spinal fracture with posterior lumbar cord lesion
318562011,Closed spinal fracture with cauda equina lesion
318563018,Open fracture of lumbar spine with spinal cord lesion
318564012,Open spinal fracture with unspecified lumbar cord lesion
318565013,Open spinal fracture with complete lumbar cord lesion
318566014,Open spinal fracture with anterior lumbar cord lesion
318567017,Open spinal fracture with central lumbar cord lesion
318568010,Open spinal fracture with posterior lumbar cord lesion
318569019,Open spinal fracture with cauda equina lesion
318599011,Closed fracture of spine with spinal cord lesion unspecified
318600014,Open fracture of spine with spinal cord lesion unspecified
318601013,Fracture of vertebral column with spinal cord injury
318725011,Multiple fractures of thoracic spine
318739011,"Closed fracture scapula, spine"
318746019,"Open fracture scapula, spine"
3192371000006117,Compression fracture of vertebral column
3192381000006119,Compression fracture of spine
3215821000006117,Closed fracture of thoracic region with spinal cord injury
3215831000006119,Closed fracture of thoracic spine with spinal cord injury
325247012,Fractures involving thorax with lower back and pelvis
325323015,Fracture of cervical spine
325341011,[X]Fracture of other parts of bony thorax
325688019,[X]Sequelae of other fracture of thorax and pelvis
3292171000006117,Open fracture of lumbar vertebra with spinal cord injury
3305281000006114,Closed fracture of lumbar vertebra with spinal cord injury
3316961000006117,Fracture of spine
3316971000006112,Spinal fracture
3316981000006110,Fracture of spinal vertebra
3316991000006113,Fracture of vertebra
3317001000006117,Fractured spine
3391911000006114,Open fracture of seventh cervical vertebra without spinal cord injury
3457201000006110,Open fracture of cervical vertebra without spinal cord injury
3512341000006118,Open fracture of third cervical vertebra without spinal cord injury
3542851000006115,Repair of vertebral fracture
3546051000006112,Fracture of spinous process of vertebra
3548511000006115,Open fracture of sixth cervical vertebra without spinal cord injury
3676701000006119,Open fracture of multiple cervical vertebrae without spinal cord injury
370001000000111,Vertebroplasty of fracture of spine
375761000000118,Posterior decompression of fracture of spine NEC
3772141000006113,Open fracture of thoracic spine with spinal cord injury
3779851000006112,Closed fracture of cervical vertebra without spinal cord injury
3824391000006110,Closed fracture of cervical region with spinal cord injury
3825221000006117,Open fracture of first cervical vertebra without spinal cord injury
3825231000006119,Open fracture of atlas without spinal cord injury
3860841000006110,Fracture of transverse process of vertebra
391329016,Closed fracture of atlas without spinal cord injury
391330014,Closed fracture of axis without spinal cord lesion
391337012,Open fracture of atlas without spinal cord lesion
391340012,Open fracture of axis without spinal cord lesion
394586014,Other reduction of fracture of spine
3960051000006112,Closed fracture of thoracic vertebra without spinal cord injury
3960061000006114,Closed fracture of dorsal vertebra without spinal cord injury
402831015,Fracture of vertebra without spinal cord lesion
402832010,Fracture of spine without mention of spinal cord injury
402833017,Closed fracture of cervical spine
402834011,Closed fracture atlas
402835012,Closed fracture axis
402836013,Closed fracture of third cervical vertebra
402837016,Closed fracture of fourth cervical vertebra
402838014,Closed fracture of fifth cervical vertebra
402839018,Closed fracture of sixth cervical vertebra
402840016,Closed fracture of seventh cervical vertebra
402841017,Open fracture of cervical spine
402842012,Open fracture atlas
402843019,Open fracture axis
402844013,Open fracture of third cervical vertebra
402845014,Open fracture of fourth cervical vertebra
402846010,Open fracture of fifth cervical vertebra
402847018,Open fracture of sixth cervical vertebra
402848011,Open fracture of seventh cervical vertebra
402849015,Fracture of vertebra with spinal cord lesion
402850015,Fracture of spine with spinal cord lesion
405143010,Pathological fracture of thoracic vertebra
405144016,Pathological fracture of lumbar vertebra
40871000006119,Osteoporosis with pathological fracture of cervical vertebrae
40881000006116,Osteoporosis with pathological fracture of lumbar vertebrae
40891000006118,Osteoporosis with pathological fracture of thoracic vertebrae
411017011,Other reduction of fracture of spine and stabilisation
411019014,Internal fixation of fracture of spine
43041000006111,Open reduction of fracture of spine and excision of facet of spine
43141000006110,"Open spinal fracture with complete thoracic cord lesion, T1-6"
43151000006112,"Open spinal fracture with complete thoracic cord lesion, T7-12"
43161000006114,"Open spinal fracture with posterior cervical cord lesion, C1-4"
43171000006119,"Open spinal fracture with posterior cervical cord lesion, C5-7"
43181000006116,"Open spinal fracture with posterior thoracic cord lesion, T1-6"
43191000006118,"Open spinal fracture with posterior thoracic cord lesion, T7-12"
43201000006115,"Opn spinal fracture with unspec cervical cord lesion, C1-4"
43211000006117,"Opn spinal fracture with unspec cervical cord lesion, C5-7"
43221000006113,"Opn spinal fracture with unspec thoracic cord lesion, T1-6"
43231000006111,"Opn spinal fracture with unspec thoracic cord lesion, T7-12"
4378851000006119,Fracture of cervical vertebra
4378871000006112,Fracture of thoracic spine
4378891000006113,Fracture of lumbar spine
4378911000006110,Open fracture of cervical region with spinal cord injury
4424171000006116,Closed reduction of fracture of vertebra
4424181000006118,Closed reduction of spinal fracture
4424191000006115,Closed reduction of fracture of vertebral body
4424201000006117,Closed reduction of fracture of spinous process of vertebra
4424211000006119,Closed reduction of fracture of transverse process of vertebra
44411000006119,"Open spinal fracture with anterior cervical cord lesion, C1-4"
44421000006110,"Open spinal fracture with anterior cervical cord lesion, C5-7"
44431000006113,"Open spinal fracture with anterior thoracic cord lesion, T1-6"
44441000006115,"Open spinal fracture with anterior thoracic cord lesion, T7-12"
44451000006118,"Open spinal fracture with complete cervical cord lesion, C1-4"
44461000006116,"Open spinal fracture with complete cervical cord lesion, C5-7"
451463012,Pathological fracture of cervical vertebra
455020013,Closed fracture of bony thorax part unspecified
455021012,Open fracture of bony thorax part unspecified
455022017,Fracture of other parts of bony thorax
455023010,Closed fracture of other parts of bony thorax
455024016,Open fracture of other parts of bony thorax
455444016,Closed multiple fractures of thoracic spine
455445015,Open multiple fracture of thoracic spine
4684881000006117,Manipulation of spinal fracture
4684921000006113,Primary bedrest stabilization of spinal fracture
4684971000006114,Primary skull traction stabilization of spinal fracture
4685011000006117,Primary external fixation stabilization of spinal fracture
4685171000006110,Primary closed reduction spinal fracture and bedrest stabilization
4685191000006111,Primary closed reduction spinal fracture and skull traction stabilization
4685371000006112,Primary open reduction spinal fracture and bedrest stabilization
4685391000006113,Primary open reduction spinal fracture and skull traction stabilization
4816081000006112,Stress fracture of vertebra
4840551000006115,Fracture of lumbar spine and/or pelvis
4840571000006113,Multiple fractures of lumbar spine and/or pelvis
4840621000006111,"Closed spinal fracture with central cervical cord lesion, C1-4"
4841671000006118,Multiple fracture of thoracic vertebrae
503551000006112,Barr skull traction for fracture of spine
51781000006118,Open spinal fracture with incomplete lumbar cord lesion NOS
531571000006114,Closed fracture of first cervical vertebra without spinal cord injury
531581000006112,Open fracture of first cervical vertebra without mention of spinal cord lesion
531601000006119,Closed fracture of second cervical vertebra without spinal cord injury
531611000006116,Open fracture of second cervical vertebra without mention of spinal cord lesion
531621000006112,Closed fracture of third cervical vertebra without spinal cord injury
531631000006110,C3 vertebra open fracture without spinal cord lesion
531641000006117,Closed fracture of fourth cervical vertebra without spinal cord injury
531651000006115,C4 vertebra open fracture without spinal cord lesion
531661000006118,Closed fracture of fifth cervical vertebra without spinal cord injury
531671000006113,C5 vertebra open fracture without spinal cord lesion
531681000006111,Closed fracture of sixth cervical vertebra without spinal cord injury
531691000006114,C6 vertebra open fracture without spinal cord lesion
531701000006114,Closed fracture of seventh cervical vertebra without spinal cord injury
531711000006112,C7 vertebra open fracture without spinal cord lesion
5460431000006119,Fracture dislocation of costovertebral joint
5460461000006111,Fracture dislocation of spine
5460471000006116,Fracture dislocation of spinal vertebra
5460481000006118,Fracture dislocation of cervical spine
5460511000006114,Fracture dislocation of thoracic spine
5460521000006118,Fracture dislocation of lumbar spine
5460561000006112,Fracture dislocation of scapulothoracic joint
5461821000006110,Fracture arch of atlas
5461851000006118,Open fracture of first cervical vertebra without spinal cord lesion
5461881000006114,Open fracture of second cervical vertebra without spinal cord lesion
5509791000006111,Fracture of spine without spinal cord injury
5509811000006110,Closed fracture of first cervical vertebra
5509831000006116,Closed fracture of second cervical vertebra
5560561000006119,Pathological fracture of vertebra
5560641000006117,Fracture of cervical spine - no cord lesion
5560651000006115,Fracture of thoracic spine without spinal cord lesion
5560661000006118,Fracture of lumbar spine - no cord lesion
5560671000006113,Fracture of cervical spine with cord lesion
5560681000006111,Fracture of thoracic spine with cord lesion
5560691000006114,Fracture of lumbar spine with cord lesion
562351000006114,Closed fracture involving thorax wth lower back and pelvis and limbs
562751000006110,Closed fracture of cervical spine with cord lesion NOS
563961000006116,Closed fracture of thoracic spine with cord lesion NOS
5657681000006112,Fracture dislocation of thoracolumbar junction
5657691000006110,Fracture dislocation of cervicothoracic junction
5657731000006119,Teardrop fracture of cervical vertebra
5657741000006112,Wedge fracture of cervical vertebra
5657751000006114,Collapse wedge fracture of cervical vertebra
5657761000006111,Crush fracture of cervical vertebra
5657771000006116,Burst fracture of cervical vertebra
5657781000006118,Fracture of pedicle of cervical vertebra
5657791000006115,Fracture of transverse process of cervical vertebra
5657801000006119,Fracture of lamina of cervical vertebra
5657811000006116,Fracture of spinous process of cervical vertebra
5657821000006112,Two column fracture of cervical vertebra
5657831000006110,Three column fracture of cervical vertebra
5657841000006117,Teardrop fracture of thoracic vertebra
5657851000006115,Wedge fracture of thoracic vertebra
5657861000006118,Collapse wedge fracture of thoracic vertebra
5657871000006113,Crush fracture of thoracic vertebra
5657881000006111,Burst fracture of thoracic vertebra
5657891000006114,Fracture of pedicle of thoracic vertebra
5657901000006113,Fracture of transverse process of thoracic vertebra
5657911000006111,Fracture of lamina of thoracic vertebra
5657921000006115,Fracture of spinous process of thoracic vertebra
5657931000006117,Two column fracture of thoracic vertebra
5657941000006110,Three column fracture of thoracic vertebra
5657951000006112,Teardrop fracture of lumbar vertebra
5657961000006114,Wedge fracture of lumbar vertebra
5657971000006119,Collapse wedge fracture of lumbar vertebra
5657981000006116,Crush fracture of lumbar vertebra
5657991000006118,Burst fracture of lumbar vertebra
5658001000006111,Fracture of pedicle of lumbar vertebra
5658011000006114,Fracture of transverse process of lumbar vertebra
5658021000006118,Fracture of lamina of lumbar vertebra
5658031000006115,Fracture of spinous process of lumbar vertebra
5658061000006112,Two column fracture of lumbar vertebra
5658071000006117,Three column fracture of lumbar vertebra
570671000006117,"Closed spinal fracture with anterior cervical cord lesion, C1-4"
570681000006119,"Closed spinal fracture with anterior cervical cord lesion, C5-7"
570691000006116,"Closed spinal fracture with anterior thoracic cord lesion,T7-12"
570701000006116,"Closed spinal fracture with central cervical cord lesion , C1-4"
570711000006118,"Closed spinal fracture with central cervical cord lesion, C5-7"
570721000006114,"Closed spinal fracture with central thoracic cord lesion, T1-6"
570731000006112,"Closed spinal fracture with central thoracic cord lesion, T7-12"
570741000006119,"Closed spinal fracture with complete cervical cord lesion, C1-4"
570751000006117,"Closed spinal fracture with complete cervical cord lesion, C5-7"
570761000006115,"Closed spinal fracture with complete thoracic cord lesion,T7-12"
570771000006110,"Closed spinal fracture with posterior cervical cord lesion, C1-4"
570781000006113,"Closed spinal fracture with posterior cervical cord lesion, C5-7"
570791000006111,"Closed spinal fracture with posterior thoracic cord lesion, T1-6"
570801000006112,"Closed spinal fracture with posterior thoracic cord lesion, T7-12"
570831000006116,"Cls spinal fracture with unspec thoracic cord lesion, T7-12"
570841000006114,"Cls spinal fracture with unspec thoracic cord lesion,T1-6"
570851000006111,"Closed spinal fracture with anterior thoracic cord lesion, T1-6"
570861000006113,"Closed spinal fracture with complete thoracic cord lesion, T1-6"
5964821000006114,Anterior wedge fracture of vertebra
6006161000006113,Primary closed reduction of spinal fracture
6006181000006115,Primary open reduction of spinal fracture
602751000006117,Crutchfield skull traction for fracture of spine
6048931000006112,Burst fracture of vertebra
6048941000006119,Wedge fracture of vertebra
622771000000113,Pars interarticularis stress fracture
698931000006114,Manipulative reduction of fracture of spine
7062291000006110,Compression fracture of lumbar spine
7128931000006115,Compression fracture of cervical spine
7312801000006116,Fracture of body of vertebra
7360181000006119,Open fracture of lumbar spine with incomplete lesion of lumbar spinal cord
7364211000006112,Fixation of fracture of spine and skull traction
7488101000006119,Two column burst fracture of vertebra
7488121000006112,Three column burst fracture of vertebra
7488141000006117,Chance flexion distraction fracture of vertebra
7488151000006115,Chance fracture of vertebra
7495331000006116,Open reduction of fracture of bone of spine with internal fixation
7504191000006113,Compression fracture of thoracic spine
761191000006114,Fixation of spinal fracture
761201000006112,Fixation of fracture of spine and skull traction HFQ
7815841000006112,Fracture of posterior arch of first cervical vertebra
7815851000006114,Fracture of posterior arch of atlas
7815861000006111,Fracture of lateral mass of first cervical vertebra
7815871000006116,Fracture of lateral mass of atlas
7815881000006118,Type I fracture of odontoid process of axis
7815911000006118,Type II fracture of odontoid process of axis
7815941000006119,Type III fracture of odontoid process of axis
7815971000006110,Fracture of third cervical vertebra
7815981000006113,Fracture of fourth cervical vertebra
7815991000006111,Fracture of fifth cervical vertebra
7816001000006112,Fracture of sixth cervical vertebra
7816011000006110,Fracture of seventh cervical vertebra
7817141000006110,Fracture of first thoracic vertebra
7817151000006112,Fracture of second thoracic vertebra
7817161000006114,Fracture of third thoracic vertebra
7817171000006119,Fracture of fourth thoracic vertebra
7817181000006116,Fracture of fifth thoracic vertebra
7817191000006118,Fracture of sixth thoracic vertebra
7817201000006115,Fracture of seventh thoracic vertebra
7817211000006117,Fracture of eighth thoracic vertebra
7817221000006113,Fracture of ninth thoracic vertebra
7817231000006111,Fracture of tenth thoracic vertebra
7817241000006118,Fracture of eleventh thoracic vertebra
7817251000006116,Fracture of twelfth thoracic vertebra
7818521000006110,Fracture of first lumbar vertebra
7818531000006113,Fracture of second lumbar vertebra
7818541000006115,Fracture of L2 vertebra
7818551000006118,Fracture of third lumbar vertebra
7818561000006116,Fracture of L3 vertebra
7818571000006111,Fracture of fourth lumbar vertebra
7818581000006114,Fracture of L4 vertebra
7818591000006112,Fracture of fifth lumbar vertebra
7818601000006116,Fracture of L5 vertebra
7834731000006117,Unstable burst fracture of first cervical vertebra
7840941000006119,Stable burst fracture of first cervical vertebra
792411000006118,Fractures involving thorax with lower back and pelvis with limb(s)
792591000006110,"Fracture of bony thorax, part unspecified"
793671000006119,Fracture of transverse process of spine with spinal cord lesion
793681000006116,Fracture of transverse process of spine without spinal cord lesion
9383441000006118,Closed fracture of first thoracic vertebra
9383461000006119,Closed fracture of second thoracic vertebra
9383481000006112,Closed fracture of third thoracic vertebra
9383511000006116,Closed fracture of fourth thoracic vertebra
9383551000006115,Closed fracture of first lumbar vertebra
9383571000006113,Closed fracture of second lumbar vertebra
9383601000006118,Closed fracture of third lumbar vertebra
9383621000006111,Closed fracture of fourth lumbar vertebra
9383641000006116,Closed fracture of fifth lumbar vertebra
9383671000006112,Open fracture of first thoracic vertebra
9383691000006113,Open fracture of second thoracic vertebra
9383721000006115,Open fracture of third thoracic vertebra
9383741000006110,Open fracture of fourth thoracic vertebra
9383781000006116,Pathological fracture of thoracic vertebra due to secondary osteoporosis
9383791000006118,Secondary osteoporotic fracture of thoracic vertebra
9383801000006117,Pathological fracture of thoracic vertebra due to neoplastic disease
9383811000006119,Thoracic vertebra fracture due to tumor
9383821000006110,Thoracic vertebra fracture due to tumour
9383841000006115,Pathological fracture of lumbar vertebra due to secondary osteoporosis
9383851000006118,Secondary osteoporotic fracture of lumbar vertebra
9383861000006116,Pathological fracture of lumbar vertebra due to neoplastic disease
9383871000006111,Lumbar vertebra fracture due to tumor
9383881000006114,Lumbar vertebra fracture due to tumour
9383901000006111,Pathological fracture of cervical vertebra due to secondary osteoporosis
9383911000006114,Secondary osteoporotic fracture of cervical vertebra
9383921000006118,Pathological fracture of cervical vertebra due to neoplastic disease
9383931000006115,Cervical vertebra fracture due to tumour
9383941000006113,Cervical vertebra fracture due to tumor
9383951000006110,Pathological fracture of vertebra due to osteoporosis
9383961000006112,Osteoporotic fracture of vertebra
9384001000006113,Pathological fracture of vertebra due to neoplastic disease
9384011000006111,Vertebra fracture due to tumour
9384021000006115,Vertebra fracture due to tumor
9384081000006116,Pathological fracture of vertebra due to secondary osteoporosis
9384091000006118,Secondary osteoporotic fracture of vertebra
9384131000006116,Open fracture of first lumbar vertebra
9384161000006113,Open fracture of second lumbar vertebra
9384181000006115,Open fracture of third lumbar vertebra
9384201000006119,Open fracture of fourth lumbar vertebra
9384231000006110,Open fracture of fifth lumbar vertebra
9384251000006115,Stress fracture of occipito atlanto axial vertebra
9384271000006113,Stress fracture of cervical vertebra
9384281000006111,Stress fracture of thoracic vertebra
9384291000006114,Stress fracture of lumbar vertebra
11904951000006110,Open fracture of the proximal humerus
1229897016,Closed fracture of the proximal humerus
12484101000006114,Closed fracture subluxation shoulder
2518791000006115,Open reduction of closed shoulder dislocation with fracture of greater tuberosity
255591000006115,Open fracture-subluxation shoulder
255601000006111,Open fracture-subluxation shoulder joint
256011000006112,Open fracture dislocation shoulder joint
256021000006116,Open fracture-dislocation shoulder joint
257781000006117,Open fracture of upper end of humerus
2684781000006115,Open reduction of open shoulder dislocation with fracture of greater tuberosity
277193016,Closed reduction of fracture of shoulder
318750014,Closed fracture of upper end of humerus
318751013,"Closed fracture proximal humerus, neck"
318752018,"Closed fracture of proximal humerus, anatomical neck"
318753011,"Closed fracture proximal humerus, greater tuberosity"
318755016,"Closed fracture of humerus, upper epiphysis"
318756015,"Closed fracture proximal humerus, three part"
318757012,"Closed fracture proximal humerus, four part"
318758019,Closed fracture of proximal humerus not otherwise specified
318762013,"Open fracture of proximal humerus, unspecified part"
318763015,"Open fracture proximal humerus, neck"
318764014,"Open fracture of proximal humerus, anatomical neck"
318767019,"Open fracture proximal humerus, greater tuberosity"
318768012,"Open fracture proximal humerus, head"
318769016,"Open fracture of humerus, upper epiphysis"
318770015,"Open fracture proximal humerus, three part"
318771016,"Open fracture proximal humerus, four part"
318772011,Open fracture of proximal humerus not otherwise specified
325381016,[X]Fracture of other parts of shoulder and upper arm
325382011,Fracture of shoulder
3822701000006113,Manual reduction of closed dislocation of shoulder joint with fracture of greater tuberosity of humerus
3822711000006111,Reduction of closed shoulder dislocation with fracture of greater tuberosity with manipulation
3912011000006113,Open fracture of upper end of humerus
411304016,Shoulder fracture - open
4848661000006115,Fracture dislocation or subluxation of shoulder
4848721000006118,Closed fracture subluxation of shoulder
4848761000006112,Open fracture subluxation shoulder joint
5460571000006117,Fracture dislocation of shoulder joint
5460781000006114,Fracture subluxation of shoulder joint
565391000006112,Closed fracture dislocation shoulder joint
565401000006114,Closed fracture-dislocation shoulder joint
565721000006114,Closed fracture subluxation shoulder joint
565731000006112,Closed fracture subluxation shoulder joint
5722021000006110,Pathological fracture - shoulder
574014,Fracture of upper end of humerus
6895151000006119,Open fracture dislocation of joint of shoulder girdle
6898081000006116,Closed fracture dislocation of joint of shoulder girdle
6901121000006117,Fracture dislocation of joint of shoulder girdle
7222771000006119,Closed reduction of fracture of proximal humerus
7587841000006117,Closed fracture of shoulder
793931000006111,Fracture dislocation or subluxation shoulder
892471000006113,Path.fracture - shoulder
12217191000006113,Goyrand-Smith fracture
12217201000006111,Smith fracture
1229331011,Closed fracture lunate
1229710011,"Closed fracture of ulna, styloid process"
1229933018,Closed fracture of the scaphoid
1231198017,Open fracture lunate
1233006016,Open fracture of the scaphoid
12726211000006114,"Closed fracture distal ulna, unspecified"
133435011,Open Colles' fracture
1490703015,"Closed fracture radius and ulna, distal"
1495502013,Wrist fracture - open
1495503015,"Open fracture radius and ulna, distal"
1730651000000118,Greenstick fracture of distal radius
2504221000006116,Closed fracture of trapezoidal bone of wrist
2504231000006118,Closed fracture of small multangular bone of wrist
2530741000006117,Fracture of lunate bone of wrist
2530751000006115,Fracture of semilunar bone of wrist
2530761000006118,Fracture of lunate
255561000006111,Open fracture-subluxation peri-lunate (dorsal)
255571000006116,Open fracture-subluxation peri-lunate trans-scaphoid
255581000006118,Open fracture-subluxation radiocarpal joint
255631000006115,Open fracture-subluxation superior radio-ulnar joint
255651000006110,"Open fracture-subluxation, carpometacarpal joint"
255671000006117,"Open fracture-subluxation, distal radio-ulnar joint"
255981000006110,Open fracture-dislocation peri-lunate (dorsal)
255991000006113,Open fracture-dislocation peri-lunate trans-scaphoid
256001000006114,Open fracture-dislocation radiocarpal joint
256051000006113,Open fracture-dislocation superior radio-ulnar joint
256081000006117,"Open fracture-dislocation, distal radio-ulnar joint"
256281000006112,Open fracture-subluxation lunate (volar)
256291000006110,Open fracture-subluxation mid carpal
256341000006113,Open fracture-subluxation of the wrist
256671000006111,Open fracture-dislocation carpometacarpal joint
256731000006116,Open fracture-dislocation lunate (volar)
256741000006114,Open fracture-dislocation mid carpal
261541000006119,Open dorsal Barton's fracture-dislocation
261551000006117,Open dorsal Barton's fracture-subluxation
2620681000006114,Fracture of triquetral bone of wrist
2620691000006112,Fracture of cuneiform bone of wrist
2626111000006113,Open fracture of triquetral bone of wrist
2626121000006117,Open fracture of cuneiform bone of wrist
2650961000006112,Closed fracture of carpal bone of wrist
2715261000006112,Manual reduction of closed fracture of scaphoid bone
2715271000006117,Reduction of closed carpal scaphoid fracture with manipulation
2736481000006119,Fracture of trapezoidal bone of wrist
2736491000006116,Fracture of small multangular bone of wrist
2766591000006110,Manual reduction of closed carpometacarpal fracture dislocation of thumb
2766601000006119,Reduction of closed carpometacarpal fracture dislocation of thumb with manipulation
277200019,Closed reduction of fracture of wrist
2773201000006116,Closed fracture of lower end of radius
2966651000006113,Open fracture of carpal bone of wrist
2993591000006110,Closed fracture of triquetral bone of wrist
2993601000006119,Closed fracture of cuneiform bone of wrist
3014891000006114,Fracture of navicular bone of wrist
3014911000006111,Fracture of scaphoid bone
3058071000006115,Open fracture of hamate bone of wrist
3058081000006117,Open fracture of unciform bone of wrist
3098691000006118,Closed fracture of hamate bone of wrist
3098701000006118,Closed fracture of unciform bone of wrist
3106031000006116,Closed fracture of lunate bone of wrist
3106041000006114,Closed fracture of semilunar bone of wrist
3160991000006117,Closed fracture of styloid process of ulna
3186591000006110,Open fracture of trapezoidal bone of wrist
3186601000006119,Open fracture of small multangular bone of wrist
318838011,"Closed fracture of forearm, lower end, unspecified"
318845011,"Closed fracture of ulna, lower epiphysis"
318846012,Closed fracture of distal end of ulna
318848013,Smith's fracture - closed
318849017,Closed Smith's fracture
318850017,Closed Galeazzi fracture
318851018,Closed volar Barton's fracture
318857019,Closed fracture radial styloid
318858012,"Closed fracture distal radius, intra-articular, die-punch"
318859016,Closed extraarticular fracture of distal radius
318862018,"Closed fracture distal radius, intra-articular, other type"
318864017,Closed fracture of lower end of forearm
318868019,"Open fracture of forearm, lower end, unspecified"
318875018,"Open fracture of ulna, styloid process"
318876017,"Open fracture of ulna, lower epiphysis"
318877014,Open fracture of distal end of ulna
318880010,Smith's fracture - open
318881014,Open Galeazzi fracture
318882019,Open volar Barton's fracture
318887013,Open dorsal Barton's fracture
318888015,Open fracture radial styloid
318889011,"Open fracture distal radius, intra-articular, die-punch"
318890019,Open extra-articular fracture of distal radius
318891015,Open intra-articular fracture of distal radius
318893017,Open fracture of lower end of forearm
318919018,"Closed fracture scaphoid, waist, transverse"
318920012,"Closed fracture scaphoid, waist, oblique"
318921011,"Closed fracture scaphoid, waist, comminuted"
318922016,"Closed fracture scaphoid, tuberosity"
318929013,"Open fracture scaphoid, waist, transverse"
318930015,"Open fracture scaphoid, waist, oblique"
318931016,"Open fracture scaphoid, waist, comminuted"
318932011,"Open fracture scaphoid, tuberosity"
3190321000006117,Closed fracture of scaphoid bone of wrist
3190341000006112,Closed fracture of navicular bone of wrist
319961016,Closed fracture dislocation of wrist
319970018,Open fracture dislocation wrist
3204741000006116,Closed fracture of pisiform bone of wrist
3217001000006114,Open fracture of capitate bone of wrist
3217011000006112,Open fracture of os magnum of wrist
3259501000006119,Manual reduction of closed carpometacarpal fracture dislocation of thumb with skeletal fixation
3259511000006116,Reduction of closed carpometacarpal fracture dislocation of thumb with manipulation and skeletal fixation
3316131000006111,Closed fracture of lower end of ulna
3363611000006116,Open fracture of lunate bone of wrist
3363621000006112,Open fracture of semilunar bone of wrist
3386781000006111,Barton's fracture
3386791000006114,Barton fracture
3428151000006115,Closed fracture of trapezium bone of wrist
3428161000006118,Closed fracture of larger multangular bone of wrist
3527286011,Fracture of lower end of radius with dorsal tilt
3527288012,Fracture of lower end of radius with volar tilt
3591391000006119,Open fracture of trapezium of wrist
3591401000006117,Open fracture of larger multangular bone of wrist
3607291000006111,Open fracture of navicular bone of wrist
3607301000006112,Open fracture of scaphoid bone of wrist
3674871000006112,Reduction of closed ulnar styloid fracture
3692241000006119,Fracture of capitate bone of wrist
3692251000006117,Fracture of os magnum of wrist
3710331000006111,Fracture of trapezium of wrist
3710341000006118,Fracture of larger multangular bone of wrist
3867051000006117,Fracture of pisiform bone of wrist
3896491000006116,Fracture of hamate bone of wrist
3896501000006112,Fracture of unciform bone of wrist
391354016,Fracture of lower end of radius
391366010,Fracture of lower end of both ulna and radius
3932001000006116,Open fracture of lower end of radius AND ulna
3949301000006114,Open fracture of pisiform bone of wrist
3964861000006110,Closed fracture of capitate bone of wrist
3964871000006115,Closed fracture of os magnum of wrist
402859019,Closed Colles' fracture
402860012,Closed fracture of distal end of radius
402862016,Open fracture of distal end of radius
4214001000006116,Arthroscopy of wrist with internal fixation for fracture
4353801000006114,Closed reverse Colles' fracture
4353811000006112,Open reverse Colles' fracture
4358241000006117,Colles' fracture
4358251000006115,Reversed Colles' fracture
4358261000006118,Smith's fracture
451060018,Open Barton's fracture
451061019,Closed Barton's fracture
4842191000006115,Closed Smith's fracture
4842201000006117,Smith fracture - closed
4842231000006113,Closed volar Barton's fracture subluxation
4842241000006115,Closed volar Barton's fracture dislocation
4842251000006118,Closed volar Barton fracture
4842271000006111,Closed dorsal Barton's fracture subluxation
4842281000006114,Closed dorsal Barton's fracture dislocation
4842291000006112,Closed dorsal Barton fracture
4842361000006114,Smith fracture - open
4842391000006118,Open volar Barton's fracture subluxation
4842401000006116,Open volar Barton's fracture dislocation
4842411000006118,Open volar Barton fracture
4842431000006112,Open dorsal Barton's fracture dislocation
4842441000006119,Open dorsal Barton's fracture subluxation
4842451000006117,Open dorsal Barton fracture
4848801000006115,Closed fracture dislocation superior radioulnar joint
4848831000006111,Open fracture dislocation superior radioulnar joint
4848861000006119,Closed fracture subluxation superior radioulnar joint
4848881000006112,Open fracture subluxation superior radioulnar joint
4848921000006116,Closed fracture dislocation radiocarpal joint
4848931000006118,Closed fracture dislocation midcarpal
4848941000006111,Closed fracture dislocation of carpometacarpal joint
