readcode	readterm
B327100	Malignant melanoma of thigh
B327200	Malignant melanoma of knee
B327300	Malignant melanoma of popliteal fossa area
B327400	Malignant melanoma of lower leg
B327500	Malignant melanoma of ankle
B327600	Malignant melanoma of heel
B327700	Malignant melanoma of foot
B327800	Malignant melanoma of toe
B327900	Malignant melanoma of great toe
B327z00	Malignant melanoma of lower limb or hip NOS
B328.00	Malignant melanoma stage IA
B329.00	Malignant melanoma stage IB
B32A.00	Malignant melanoma stage IIA
B32B.00	Malignant melanoma stage IIB
B32C.00	Malignant melanoma stage IIC
B32D.00	Malignant melanoma stage IIIA
B32E.00	Malignant melanoma stage IIIB
B32F.00	Malignant melanoma stage IIIC
B32G.00	Malignant melanoma stage IV M1a
B32H.00	Malignant melanoma stage IV M1b
B32J.00	Malignant melanoma stage IV M1c
B32y.00	Malignant melanoma of other specified skin site
B32y000	Overlapping malignant melanoma of skin
B32z.00	Malignant melanoma of skin NOS
B33z000	Kaposi's sarcoma of skin
B34..00	Malignant neoplasm of female breast
B34..11	Ca female breast
B340.00	Malignant neoplasm of nipple and areola of female breast
B340000	Malignant neoplasm of nipple of female breast
B340100	Malignant neoplasm of areola of female breast
B340z00	Malignant neoplasm of nipple or areola of female breast NOS
B341.00	Malignant neoplasm of central part of female breast
B342.00	Malignant neoplasm of upper-inner quadrant of female breast
B343.00	Malignant neoplasm of lower-inner quadrant of female breast
B344.00	Malignant neoplasm of upper-outer quadrant of female breast
B345.00	Malignant neoplasm of lower-outer quadrant of female breast
B346.00	Malignant neoplasm of axillary tail of female breast
B347.00	Malignant neoplasm, overlapping lesion of breast
B34y.00	Malignant neoplasm of other site of female breast
B34y000	Malignant neoplasm of ectopic site of female breast
B34yz00	Malignant neoplasm of other site of female breast NOS
B34z.00	Malignant neoplasm of female breast NOS
B35..00	Malignant neoplasm of male breast
B350.00	Malignant neoplasm of nipple and areola of male breast
B350000	Malignant neoplasm of nipple of male breast
B350100	Malignant neoplasm of areola of male breast
B35z.00	Malignant neoplasm of other site of male breast
B35z000	Malignant neoplasm of ectopic site of male breast
B35zz00	Malignant neoplasm of male breast NOS
B36..00	Local recurrence of malignant tumour of breast
B3y..00	Malig neop of bone, connective tissue, skin and breast OS
B3z..00	Malig neop of bone, connective tissue, skin and breast NOS
B4...00	Malignant neoplasm of genitourinary organ
B4...11	Carcinoma of genitourinary organ
B40..00	Malignant neoplasm of uterus, part unspecified
B41..00	Malignant neoplasm of cervix uteri
B41..11	Cervical carcinoma (uterus)
B410.00	Malignant neoplasm of endocervix
B410000	Malignant neoplasm of endocervical canal
B410100	Malignant neoplasm of endocervical gland
B410z00	Malignant neoplasm of endocervix NOS
B411.00	Malignant neoplasm of exocervix
B412.00	Malignant neoplasm, overlapping lesion of cervix uteri
B41y.00	Malignant neoplasm of other site of cervix
B41y000	Malignant neoplasm of cervical stump
B41y100	Malignant neoplasm of squamocolumnar junction of cervix
B41yz00	Malignant neoplasm of other site of cervix NOS
B41z.00	Malignant neoplasm of cervix uteri NOS
B42..00	Malignant neoplasm of placenta
B420.00	Choriocarcinoma
B43..00	Malignant neoplasm of body of uterus
B430.00	Malignant neoplasm of corpus uteri, excluding isthmus
B430000	Malignant neoplasm of cornu of corpus uteri
B430100	Malignant neoplasm of fundus of corpus uteri
B430200	Malignant neoplasm of endometrium of corpus uteri
B430211	Malignant neoplasm of endometrium
B430300	Malignant neoplasm of myometrium of corpus uteri
B430z00	Malignant neoplasm of corpus uteri NOS
B431.00	Malignant neoplasm of isthmus of uterine body
B431000	Malignant neoplasm of lower uterine segment
B431z00	Malignant neoplasm of isthmus of uterine body NOS
B432.00	Malignant neoplasm of overlapping lesion of corpus uteri
B43y.00	Malignant neoplasm of other site of uterine body
B43z.00	Malignant neoplasm of body of uterus NOS
B44..00	Malignant neoplasm of ovary and other uterine adnexa
B440.00	Malignant neoplasm of ovary
B440.11	Cancer of ovary
B441.00	Malignant neoplasm of fallopian tube
B442.00	Malignant neoplasm of broad ligament
B443.00	Malignant neoplasm of parametrium
B444.00	Malignant neoplasm of round ligament
B44y.00	Malignant neoplasm of other site of uterine adnexa
B44z.00	Malignant neoplasm of uterine adnexa NOS
B45..00	Malig neop of other and unspecified female genital organs
B450.00	Malignant neoplasm of vagina
B450100	Malignant neoplasm of vaginal vault
B450z00	Malignant neoplasm of vagina NOS
B451.00	Malignant neoplasm of labia majora
B451000	Malignant neoplasm of greater vestibular (Bartholin's) gland
B451z00	Malignant neoplasm of labia majora NOS
B452.00	Malignant neoplasm of labia minora
B453.00	Malignant neoplasm of clitoris
B454.00	Malignant neoplasm of vulva unspecified
B454.11	Primary vulval cancer
B45X.00	Malignant neoplasm/overlapping lesion/feml genital organs
B45y.00	Malignant neoplasm of other specified female genital organ
B45y000	Malignant neoplasm of overlapping lesion of vulva
B45z.00	Malignant neoplasm of female genital organ NOS
B46..00	Malignant neoplasm of prostate
B47..00	Malignant neoplasm of testis
B470.00	Malignant neoplasm of undescended testis
B470000	Malignant neoplasm of ectopic testis
B470200	Seminoma of undescended testis
B470z00	Malignant neoplasm of undescended testis NOS
B471.00	Malignant neoplasm of descended testis
B471000	Seminoma of descended testis
B471z00	Malignant neoplasm of descended testis NOS
B47z.00	Malignant neoplasm of testis NOS
B47z.11	Seminoma of testis
B48..00	Malignant neoplasm of penis and other male genital organs
B480.00	Malignant neoplasm of prepuce (foreskin)
B481.00	Malignant neoplasm of glans penis
B482.00	Malignant neoplasm of body of penis
B483.00	Malignant neoplasm of penis, part unspecified
B484.00	Malignant neoplasm of epididymis
B485.00	Malignant neoplasm of spermatic cord
B486.00	Malignant neoplasm of scrotum
B487.00	Malignant neoplasm, overlapping lesion of penis
B48y.00	Malignant neoplasm of other male genital organ
B48y000	Malignant neoplasm of seminal vesicle
B48y100	Malignant neoplasm of tunica vaginalis
B48y200	Malignant neoplasm, overlapping lesion male genital orgs
B48yz00	Malignant neoplasm of other male genital organ NOS
B48z.00	Malignant neoplasm of penis and other male genital organ NOS
B49..00	Malignant neoplasm of urinary bladder
B490.00	Malignant neoplasm of trigone of urinary bladder
B491.00	Malignant neoplasm of dome of urinary bladder
B492.00	Malignant neoplasm of lateral wall of urinary bladder
B493.00	Malignant neoplasm of anterior wall of urinary bladder
B494.00	Malignant neoplasm of posterior wall of urinary bladder
B495.00	Malignant neoplasm of bladder neck
B496.00	Malignant neoplasm of ureteric orifice
B497.00	Malignant neoplasm of urachus
B498.00	Local recurrence of malignant tumour of urinary bladder
B49y.00	Malignant neoplasm of other site of urinary bladder
B49y000	Malignant neoplasm, overlapping lesion of bladder
B49z.00	Malignant neoplasm of urinary bladder NOS
B4A..00	Malig neop of kidney and other unspecified urinary organs
B4A..11	Renal malignant neoplasm
B4A0.00	Malignant neoplasm of kidney parenchyma
B4A0000	Hypernephroma
B4A1.00	Malignant neoplasm of renal pelvis
B4A1000	Malignant neoplasm of renal calyces
B4A1100	Malignant neoplasm of ureteropelvic junction
B4A1z00	Malignant neoplasm of renal pelvis NOS
B4A2.00	Malignant neoplasm of ureter
B4A3.00	Malignant neoplasm of urethra
B4A4.00	Malignant neoplasm of paraurethral glands
B4Ay.00	Malignant neoplasm of other urinary organs
B4Ay000	Malignant neoplasm of overlapping lesion of urinary organs
B4Az.00	Malignant neoplasm of kidney or urinary organs NOS
B4y..00	Malignant neoplasm of genitourinary organ OS
B4z..00	Malignant neoplasm of genitourinary organ NOS
B5...00	Malignant neoplasm of other and unspecified sites
B5...11	Carcinoma of other and unspecified sites
B50..00	Malignant neoplasm of eye
B500.00	Malig neop eyeball excl conjunctiva, cornea, retina, choroid
B500000	Malignant neoplasm of ciliary body
B500100	Malignant neoplasm of iris
B500200	Malignant neoplasm of crystalline lens
B500z00	Malignant neoplasm of eyeball NOS
B501.00	Malignant neoplasm of orbit
B501000	Malignant neoplasm of connective tissue of orbit
B501100	Malignant neoplasm of extraocular muscle of orbit
B501z00	Malignant neoplasm of orbit NOS
B502.00	Malignant neoplasm of lacrimal gland
B503.00	Malignant neoplasm of conjunctiva
B504.00	Malignant neoplasm of cornea
B505.00	Malignant neoplasm of retina
B506.00	Malignant neoplasm of choroid
B507.00	Malignant neoplasm of lacrimal duct
B507000	Malignant neoplasm of lacrimal sac
B507100	Malignant neoplasm of nasolacrimal duct
B507z00	Malignant neoplasm of lacrimal duct NOS
B508.00	Malignant neoplasm, overlapping lesion of eye and adnexa
B509.00	Malignant melanoma of eye
B50y.00	Malignant neoplasm of other specified site of eye
B50z.00	Malignant neoplasm of eye NOS
B51..00	Malignant neoplasm of brain
B51..11	Cerebral tumour - malignant
B510.00	Malignant neoplasm cerebrum (excluding lobes and ventricles)
B510000	Malignant neoplasm of basal ganglia
B510100	Malignant neoplasm of cerebral cortex
B510300	Malignant neoplasm of globus pallidus
B510400	Malignant neoplasm of hypothalamus
B510500	Malignant neoplasm of thalamus
B510z00	Malignant neoplasm of cerebrum NOS
B511.00	Malignant neoplasm of frontal lobe
B512.00	Malignant neoplasm of temporal lobe
B512z00	Malignant neoplasm of temporal lobe NOS
B513.00	Malignant neoplasm of parietal lobe
B514.00	Malignant neoplasm of occipital lobe
B515.00	Malignant neoplasm of cerebral ventricles
B515000	Malignant neoplasm of choroid plexus
B515z00	Malignant neoplasm of cerebral ventricle NOS
B516.00	Malignant neoplasm of cerebellum
B517.00	Malignant neoplasm of brain stem
B517000	Malignant neoplasm of cerebral peduncle
B517100	Malignant neoplasm of medulla oblongata
B517200	Malignant neoplasm of midbrain
B517300	Malignant neoplasm of pons
B517z00	Malignant neoplasm of brain stem NOS
B51y.00	Malignant neoplasm of other parts of brain
B51y000	Malignant neoplasm of corpus callosum
B51y200	Malignant neoplasm, overlapping lesion of brain
B51yz00	Malignant neoplasm of other part of brain NOS
B51z.00	Malignant neoplasm of brain NOS
B52..00	Malig neop of other and unspecified parts of nervous system
B520.00	Malignant neoplasm of cranial nerves
B520000	Malignant neoplasm of olfactory bulb
B520100	Malignant neoplasm of optic nerve
B520200	Malignant neoplasm of acoustic nerve
B520z00	Malignant neoplasm of cranial nerves NOS
B521.00	Malignant neoplasm of cerebral meninges
B521000	Malignant neoplasm of cerebral dura mater
B521200	Malignant neoplasm of cerebral pia mater
B521z00	Malignant neoplasm of cerebral meninges NOS
B522.00	Malignant neoplasm of spinal cord
B523.00	Malignant neoplasm of spinal meninges
B523000	Malignant neoplasm of spinal dura mater
B523z00	Malignant neoplasm of spinal meninges NOS
B524.00	Malig neopl peripheral nerves and autonomic nervous system
B524000	Malignant neoplasm of peripheral nerves of head, face & neck
B524100	Malignant neoplasm of peripheral nerve,upp limb,incl should
B524200	Malignant neoplasm of peripheral nerve of low limb, incl hip
B524300	Malignant neoplasm of peripheral nerve of thorax
B524400	Malignant neoplasm of peripheral nerve of abdomen
B524500	Malignant neoplasm of peripheral nerve of pelvis
B524600	Malignant neoplasm,overlap lesion periph nerve & auton ns
B524W00	Mal neoplasm/periph nerves+autonomic nervous system,unspc
B524X00	Malignant neoplasm/peripheral nerves of trunk,unspecified
B525.00	Malignant neoplasm of cauda equina
B52W.00	Malig neopl, overlap lesion brain & other part of CNS
B52X.00	Malignant neoplasm of meninges, unspecified
B52y.00	Malignant neoplasm of other specified part of nervous system
B52z.00	Malignant neoplasm of nervous system NOS
B53..00	Malignant neoplasm of thyroid gland
B54..00	Malig neop of other endocrine glands and related structures
B540.00	Malignant neoplasm of adrenal gland
B540000	Malignant neoplasm of adrenal cortex
B540100	Malignant neoplasm of adrenal medulla
B540z00	Malignant neoplasm of adrenal gland NOS
B541.00	Malignant neoplasm of parathyroid gland
B542.00	Malignant neoplasm pituitary gland and craniopharyngeal duct
B542000	Malignant neoplasm of pituitary gland
B542100	Malignant neoplasm of craniopharyngeal duct
B542z00	Malig neop pituitary gland or craniopharyngeal duct NOS
B543.00	Malignant neoplasm of pineal gland
B544.00	Malignant neoplasm of carotid body
B545.00	Malignant neoplasm of aortic body and other paraganglia
B545000	Malignant neoplasm of glomus jugulare
B545100	Malignant neoplasm of aortic body
B545200	Malignant neoplasm of coccygeal body
B545z00	Malignant neoplasm of aortic body or paraganglia NOS
B546.00	Neuroblastoma
B54X.00	Malignant neoplasm-pluriglandular involvement,unspecified
B54y.00	Malignant neoplasm of other specified endocrine gland
B54z.00	Malig neop of endocrine gland or related structure NOS
B55..00	Malignant neoplasm of other and ill-defined sites
B550.00	Malignant neoplasm of head, neck and face
B550000	Malignant neoplasm of head NOS
B550100	Malignant neoplasm of cheek NOS
B550200	Malignant neoplasm of nose NOS
B550300	Malignant neoplasm of jaw NOS
B550400	Malignant neoplasm of neck NOS
B550500	Malignant neoplasm of supraclavicular fossa NOS
B550z00	Malignant neoplasm of head, neck and face NOS
B551.00	Malignant neoplasm of thorax
B551000	Malignant neoplasm of axilla NOS
B551100	Malignant neoplasm of chest wall NOS
B551200	Malignant neoplasm of intrathoracic site NOS
B551z00	Malignant neoplasm of thorax NOS
B552.00	Malignant neoplasm of abdomen
B553.00	Malignant neoplasm of pelvis
B553000	Malignant neoplasm of inguinal region NOS
B553100	Malignant neoplasm of presacral region
B553200	Malignant neoplasm of sacrococcygeal region
B553z00	Malignant neoplasm of pelvis NOS
B554.00	Malignant neoplasm of upper limb NOS
B555.00	Malignant neoplasm of lower limb NOS
B55y.00	Malignant neoplasm of other specified sites
B55y000	Malignant neoplasm of back NOS
B55y100	Malignant neoplasm of trunk NOS
B55y200	Malignant neoplasm of flank NOS
B55yz00	Malignant neoplasm of specified site NOS
B55z.00	Malignant neoplasm of other and ill defined site NOS
B59..00	Malignant neoplasm of unspecified site
B590.11	Carcinomatosis
B591.00	Other malignant neoplasm NOS
B592.00	Malignant neoplasms of independent (primary) multiple sites
B592X00	Kaposi's sarcoma of multiple organs
B593.00	Primary malignant neoplasm of unknown site
B595.00	Malignant tumour of unknown origin
B59z.00	Malignant neoplasm of unspecified site NOS
B59zX00	Kaposi's sarcoma, unspecified
B5y..00	Malignant neoplasm of other and unspecified site OS
B5z..00	Malignant neoplasm of other and unspecified site NOS
B6...00	Malignant neoplasm of lymphatic and haemopoietic tissue
B6...11	Malignant neoplasm of histiocytic tissue
B60..00	Lymphosarcoma and reticulosarcoma
B600.00	Reticulosarcoma
B600000	Reticulosarcoma of unspecified site
B600100	Reticulosarcoma of lymph nodes of head, face and neck
B600300	Reticulosarcoma of intra-abdominal lymph nodes
B600700	Reticulosarcoma of spleen
B600z00	Reticulosarcoma NOS
B601.00	Lymphosarcoma
B601000	Lymphosarcoma of unspecified site
B601100	Lymphosarcoma of lymph nodes of head, face and neck
B601200	Lymphosarcoma of intrathoracic lymph nodes
B601300	Lymphosarcoma of intra-abdominal lymph nodes
B601400	Lymphosarcoma of lymph nodes of axilla and upper limb
B601500	Lymphosarcoma of lymph nodes of inguinal region and leg
B601700	Lymphosarcoma of spleen
B601800	Lymphosarcoma of lymph nodes of multiple sites
B601z00	Lymphosarcoma NOS
B602.00	Burkitt's lymphoma
B602000	Burkitt's lymphoma of unspecified site
B602100	Burkitt's lymphoma of lymph nodes of head, face and neck
B602200	Burkitt's lymphoma of intrathoracic lymph nodes
B602300	Burkitt's lymphoma of intra-abdominal lymph nodes
B602400	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B602500	Burkitt's lymphoma of lymph nodes of inguinal region and leg
B602800	Burkitt's lymphoma of lymph nodes of multiple sites
B602z00	Burkitt's lymphoma NOS
B60y.00	Other specified reticulosarcoma or lymphosarcoma
B60z.00	Reticulosarcoma or lymphosarcoma NOS
B61..00	Hodgkin's disease
B61..11	Hodgkin lymphoma
B610.00	Hodgkin's paragranuloma
B610300	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B610z00	Hodgkin's paragranuloma NOS
B611.00	Hodgkin's granuloma
B611100	Hodgkin's granuloma of lymph nodes of head, face and neck
B612.00	Hodgkin's sarcoma
B612000	Hodgkin's sarcoma of unspecified site
B612300	Hodgkin's sarcoma of intra-abdominal lymph nodes
B612400	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B613.00	Hodgkin's disease, lymphocytic-histiocytic predominance
B613000	Hodgkin's, lymphocytic-histiocytic predominance unspec site
B613100	Hodgkin's, lymphocytic-histiocytic pred of head, face, neck
B613200	Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes
B613300	Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node
B613400	Hodgkin's, lymphocytic-histiocytic pred axilla and arm
B613500	Hodgkin's, lymphocytic-histiocytic pred inguinal and leg
B613600	Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes
B613700	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B613800	Hodgkin's, lymphocytic-histiocytic pred of multiple sites
B613z00	Hodgkin's, lymphocytic-histiocytic predominance NOS
B614.00	Hodgkin's disease, nodular sclerosis
B614000	Hodgkin's disease, nodular sclerosis of unspecified site
B614100	Hodgkin's nodular sclerosis of head, face and neck
B614200	Hodgkin's nodular sclerosis of intrathoracic lymph nodes
B614300	Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
B614400	Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
B614500	Hodgkin's nodular sclerosis of inguinal region and leg
B614700	Hodgkin's disease, nodular sclerosis of spleen
B614800	Hodgkin's nodular sclerosis of lymph nodes of multiple sites
B614z00	Hodgkin's disease, nodular sclerosis NOS
B615.00	Hodgkin's disease, mixed cellularity
B615000	Hodgkin's disease, mixed cellularity of unspecified site
B615100	Hodgkin's mixed cellularity of lymph nodes head, face, neck
B615200	Hodgkin's mixed cellularity of intrathoracic lymph nodes
B615500	Hodgkin's mixed cellularity of lymph nodes inguinal and leg
B615700	Hodgkin's disease, mixed cellularity of spleen
B615800	Hodgkin's mixed cellularity of lymph nodes of multiple sites
B615z00	Hodgkin's disease, mixed cellularity NOS
B616.00	Hodgkin's disease, lymphocytic depletion
B616000	Hodgkin's lymphocytic depletion of unspecified site
B616100	Hodgkin's lymphocytic depletion of head, face and neck
B616400	Hodgkin's lymphocytic depletion lymph nodes axilla and arm
B616500	Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
B616700	Hodgkin's disease, lymphocytic depletion of spleen
B616800	Hodgkin's lymphocytic depletion lymph nodes multiple sites
B616z00	Hodgkin's disease, lymphocytic depletion NOS
B617.00	Nodular lymphocyte predominant Hodgkin lymphoma
B618.00	Nodular sclerosis classical Hodgkin lymphoma
B619.00	Mixed cellularity classical Hodgkin lymphoma
B61B.00	Lymphocyte-rich classical Hodgkin lymphoma
B61C.00	Other classical Hodgkin lymphoma
B61z.00	Hodgkin's disease NOS
B61z.11	Hodgkin lymphoma NOS
B61z000	Hodgkin's disease NOS, unspecified site
B61z100	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z200	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z300	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z400	Hodgkin's disease NOS of lymph nodes of axilla and arm
B61z500	Hodgkin's disease NOS of lymph nodes inguinal region and leg
B61z700	Hodgkin's disease NOS of spleen
B61z800	Hodgkin's disease NOS of lymph nodes of multiple sites
B61zz00	Hodgkin's disease NOS
B62..00	Other malignant neoplasm of lymphoid and histiocytic tissue
B620.00	Nodular lymphoma (Brill - Symmers disease)
B620.11	Reticulosarcoma - follicular or nodular
B620000	Nodular lymphoma of unspecified site
B620100	Nodular lymphoma of lymph nodes of head, face and neck
B620200	Nodular lymphoma of intrathoracic lymph nodes
B620300	Nodular lymphoma of intra-abdominal lymph nodes
B620400	Nodular lymphoma of lymph nodes of axilla and upper limb
B620500	Nodular lymphoma of lymph nodes of inguinal region and leg
B620700	Nodular lymphoma of spleen
B620800	Nodular lymphoma of lymph nodes of multiple sites
B620z00	Nodular lymphoma NOS
B621.00	Mycosis fungoides
B621000	Mycosis fungoides of unspecified site
B621100	Mycosis fungoides of the lymph nodes of head, face and neck
B621300	Mycosis fungoides of intra-abdominal lymph nodes
B621400	Mycosis fungoides of lymph nodes of axilla and upper limb
B621500	Mycosis fungoides of lymph nodes of inguinal region and leg
B621800	Mycosis fungoides of lymph nodes of multiple sites
B621z00	Mycosis fungoides NOS
B622.00	Sezary's disease
B622z00	Sezary's disease NOS
B623.00	Malignant histiocytosis
B623000	Malignant histiocytosis of unspecified site
B623100	Malignant histiocytosis of lymph nodes head, face and neck
B623300	Malignant histiocytosis of intra-abdominal lymph nodes
B623400	Malignant histiocytosis of lymph nodes of axilla and arm
B623800	Malignant histiocytosis of lymph nodes of multiple sites
B623z00	Malignant histiocytosis NOS
B624.00	Leukaemic reticuloendotheliosis
B624.11	Leukaemic reticuloendotheliosis
B624.12	Hairy cell leukaemia
B624000	Leukaemic reticuloendotheliosis of unspecified sites
B624100	Leukaemic reticuloend of lymph nodes of head, face and neck
B624300	Leukaemic reticuloend of intra-abdominal lymph nodes
B624z00	Leukaemic reticuloendotheliosis NOS
B625.00	Letterer-Siwe disease
B625.11	Histiocytosis X (acute, progressive)
B625000	Letterer-Siwe disease of unspecified sites
B625200	Letterer-Siwe disease of intrathoracic lymph nodes
B625800	Letterer-Siwe disease of lymph nodes of multiple sites
B625z00	Letterer-Siwe disease NOS
B626.00	Malignant mast cell tumours
B626000	Mast cell malignancy of unspecified site
B626100	Mast cell malignancy of lymph nodes of head, face and neck
B626500	Mast cell malignancy of lymph nodes inguinal region and leg
B626800	Mast cell malignancy of lymph nodes of multiple sites
B626z00	Malignant mast cell tumour NOS
B627.00	Non - Hodgkin's lymphoma
B627.11	Non-Hodgkin lymphoma
B627000	Follicular non-Hodgkin's small cleaved cell lymphoma
B627100	Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
B627200	Follicular non-Hodgkin's large cell lymphoma
B627300	Diffuse non-Hodgkin's small cell (diffuse) lymphoma
B627400	Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
B627500	Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
B627600	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B627700	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B627800	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627900	Mucosa-associated lymphoma
B627A00	Diffuse non-Hodgkin's large cell lymphoma
B627B00	Other types of follicular non-Hodgkin's lymphoma
B627C00	Follicular non-Hodgkin's lymphoma
B627C11	Follicular lymphoma NOS
B627D00	Diffuse non-Hodgkin's centroblastic lymphoma
B627E00	Diffuse large B-cell lymphoma
B627F00	Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss
B627G00	Mediastinal (thymic) large B-cell lymphoma
B627W00	Unspecified B-cell non-Hodgkin's lymphoma
B627X00	Diffuse non-Hodgkin's lymphoma, unspecified
B628.00	Follicular lymphoma
B628000	Follicular lymphoma grade 1
B628100	Follicular lymphoma grade 2
B628200	Follicular lymphoma grade 3
B628300	Follicular lymphoma grade 3a
B628400	Follicular lymphoma grade 3b
B628500	Diffuse follicle centre lymphoma
B628600	Cutaneous follicle centre lymphoma
B628700	Other types of follicular lymphoma
B62A.00	Sarcoma of dendritic cells
B62B.00	Multifocal and unisystemic Langerhans-cell histiocytosis
B62C.00	Unifocal Langerhans-cell histiocytosis
B62D.00	Histiocytic sarcoma
B62E.00	T/NK-cell lymphoma
B62E100	Anaplastic large cell lymphoma, ALK-positive
B62E200	Anaplastic large cell lymphoma, ALK-negative
B62E300	Cutaneous T-cell lymphoma
B62E400	Extranodal NK/T-cell lymphoma, nasal type
B62E500	Hepatosplenic T-cell lymphoma
B62E600	Enteropathy-associated T-cell lymphoma
B62E700	Subcutaneous panniculitic T-cell lymphoma
B62E800	Blastic NK-cell lymphoma
B62E900	Angioimmunoblastic T-cell lymphoma
B62Ew00	Other mature T/NK-cell lymphoma
B62F.00	Nonfollicular lymphoma
B62F.11	Non-follicular lymphoma
B62F000	Small cell B-cell lymphoma
B62F100	Mantle cell lymphoma
B62F200	Lymphoblastic (diffuse) lymphoma
B62Fy00	Other non-follicular lymphoma
B62x.00	Malignant lymphoma otherwise specified
B62x000	T-zone lymphoma
B62x100	Lymphoepithelioid lymphoma
B62x200	Peripheral T-cell lymphoma
B62x400	Malignant reticulosis
B62x500	Malignant immunoproliferative small intestinal disease
B62x600	True histiocytic lymphoma
B62xX00	Oth and unspecif peripheral & cutaneous T-cell lymphomas
B62y.00	Malignant lymphoma NOS
B62y000	Malignant lymphoma NOS of unspecified site
B62y100	Malignant lymphoma NOS of lymph nodes of head, face and neck
B62y200	Malignant lymphoma NOS of intrathoracic lymph nodes
B62y300	Malignant lymphoma NOS of intra-abdominal lymph nodes
B62y400	Malignant lymphoma NOS of lymph nodes of axilla and arm
B62y500	Malignant lymphoma NOS of lymph node inguinal region and leg
B62y600	Malignant lymphoma NOS of intrapelvic lymph nodes
B62y700	Malignant lymphoma NOS of spleen
B62y800	Malignant lymphoma NOS of lymph nodes of multiple sites
B62yz00	Malignant lymphoma NOS
B62z.00	Malignant neoplasms of lymphoid and histiocytic tissue NOS
B62z000	Unspec malig neop lymphoid/histiocytic of unspecified site
B62z100	Unspec malig neop lymphoid/histiocytic lymph node head/neck
B62z200	Unspec malig neop lymphoid/histiocytic of intrathoracic node
B62z300	Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
B62z400	Unspec malig neop lymphoid/histiocytic lymph node axilla/arm
B62z500	Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
B62z600	Unspec malig neop lymphoid/histiocytic of intrapelvic nodes
B62z800	Unspec malig neop lymphoid/histiocytic of multiple sites
B62zz00	Lymphoid and histiocytic malignancy NOS
B630.00	Multiple myeloma
B630.11	Kahler's disease
B630.12	Myelomatosis
B630000	Malignant plasma cell neoplasm, extramedullary plasmacytoma
B630011	Extramedullary plasmacytoma
B630100	Solitary myeloma
B630200	Plasmacytoma NOS
B630300	Lambda light chain myeloma
B630400	Solitary plasmacytoma
B631.00	Plasma cell leukaemia
B64..00	Lymphoid leukaemia
B64..11	Lymphatic leukaemia
B640.00	Acute lymphoid leukaemia
B640000	B-cell acute lymphoblastic leukaemia
B640011	Mature B-cell leukaemia Burkitt-type
B641.00	Chronic lymphoid leukaemia
B641.11	Chronic lymphatic leukaemia
B641000	B-cell chronic lymphocytic leukaemia
B641011	Chronic lymphocytic leukaemia of B-cell type
B641100	Clinical stage A chronic lymphocytic leukaemia
B641200	Clinical stage B chronic lymphocytic leukaemia
B641300	Clinical stage C chronic lymphocytic leukaemia
B642.00	Subacute lymphoid leukaemia
B64y.00	Other lymphoid leukaemia
B64y000	Aleukaemic lymphoid leukaemia
B64y100	Prolymphocytic leukaemia
B64y200	Adult T-cell leukaemia
B64y300	B-cell prolymphocytic leukaemia
B64y400	T-cell prolymphocytic leukaemia
B64y411	Prolymphocytic leukaemia of T-cell type
B64y500	Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
B64yz00	Other lymphoid leukaemia NOS
B64z.00	Lymphoid leukaemia NOS
B65..00	Myeloid leukaemia
B650.00	Acute myeloid leukaemia
B650100	Acute myeloid leukaemia with multilineage dysplasia
B651.00	Chronic myeloid leukaemia
B651.11	Chronic granulocytic leukaemia
B651100	Chronic myeloid leukaemia, BCR/ABL positive
B651300	Atypical chronic myeloid leukaemia, BCR/ABL negative
B651z00	Chronic myeloid leukaemia NOS
B652.00	Subacute myeloid leukaemia
B653.00	Myeloid sarcoma
B653000	Chloroma
B653100	Granulocytic sarcoma
B653z00	Myeloid sarcoma NOS
B654.00	Acute myeloblastic leukaemia
B65y.00	Other myeloid leukaemia
B65y000	Aleukaemic myeloid leukaemia
B65y100	Acute promyelocytic leukaemia
B65yz00	Other myeloid leukaemia NOS
B65z.00	Myeloid leukaemia NOS
B66..00	Monocytic leukaemia
B66..11	Histiocytic leukaemia
B66..12	Monoblastic leukaemia
